name,iso_a3,currency_code,local_price,dollar_ex,Year,date,Price
Argentina,ARG,ARS,2.5,1,2000,2000-04-01,2.5
Australia,AUS,AUD,2.59,1.68,2000,2000-04-01,1.541666667
Brazil,BRA,BRL,2.95,1.79,2000,2000-04-01,1.648044693
Britain,GBR,GBP,1.9,0.632911392,2000,2000-04-01,3.002000002
Canada,CAN,CAD,2.85,1.47,2000,2000-04-01,1.93877551
Chile,CHL,CLP,1260,514,2000,2000-04-01,2.451361868
China,CHN,CNY,9.9,8.28,2000,2000-04-01,1.195652174
Czech Republic,CZE,CZK,54.37,39.1,2000,2000-04-01,1.390537084
Denmark,DNK,DKK,24.75,8.04,2000,2000-04-01,3.078358209
Euro area,EUZ,EUR,2.56,1.075268817,2000,2000-04-01,2.3808
Hong Kong,HKG,HKD,10.2,7.79,2000,2000-04-01,1.309370988
Hungary,HUN,HUF,339,279,2000,2000-04-01,1.215053763
Indonesia,IDN,IDR,14500,7945,2000,2000-04-01,1.825047199
Israel,ISR,ILS,14.5,4.05,2000,2000-04-01,3.580246914
Japan,JPN,JPY,294,106,2000,2000-04-01,2.773584906
Malaysia,MYS,MYR,4.52,3.8,2000,2000-04-01,1.189473684
Mexico,MEX,MXN,20.9,9.41,2000,2000-04-01,2.221041445
New Zealand,NZL,NZD,3.4,2.01,2000,2000-04-01,1.691542289
Poland,POL,PLN,5.5,4.3,2000,2000-04-01,1.279069767
Russia,RUS,RUB,39.5,28.5,2000,2000-04-01,1.385964912
